train_loss,train_acc,val_loss,val_acc
3.1737,0.1749,7.9362,0.0657
2.4121,0.3105,7.7103,0.0598
2.0577,0.3972,6.6672,0.0588
1.7183,0.4826,6.5687,0.0603
1.3744,0.5756,4.7572,0.1626
1.0151,0.6789,3.3258,0.2585
0.6864,0.7803,2.8455,0.3075
0.453,0.8546,2.8089,0.3668
0.3037,0.9074,3.0385,0.3737
0.1711,0.952,3.2316,0.3786
0.1134,0.9714,3.2858,0.3757
0.1089,0.9701,3.2152,0.4004
0.108,0.9706,3.3868,0.3861
0.0765,0.9811,3.4928,0.3955
0.0657,0.9831,3.2869,0.3979
0.0555,0.9858,3.4629,0.4083
0.1162,0.9628,3.5307,0.4058
0.1126,0.9653,3.7407,0.3895
0.1276,0.9632,3.7788,0.3935
0.1452,0.9509,3.6625,0.3979
0.1065,0.9658,4.0708,0.3757
0.12,0.9607,3.7155,0.3915
0.1065,0.9701,3.6544,0.4108
0.0769,0.978,3.6856,0.4063
0.0575,0.9823,3.72,0.4152
0.0351,0.9905,3.755,0.4246
0.0302,0.9917,3.7552,0.4241
0.0243,0.9943,3.6211,0.4281
0.0188,0.9947,3.7516,0.4246
0.0164,0.9964,3.7716,0.4256
0.0158,0.9959,4.0359,0.395
0.0161,0.9958,3.898,0.4301
0.0149,0.9963,4.0858,0.4128
0.0117,0.9975,4.1125,0.4266
0.0501,0.9842,4.4752,0.394
0.0465,0.9857,4.2401,0.3806
0.0712,0.9773,4.3464,0.3757
0.1454,0.9511,5.2868,0.3495
0.1686,0.9445,4.5046,0.3777
0.2398,0.9236,5.4389,0.3613
0.1464,0.9533,4.6723,0.3613
0.0895,0.971,4.2066,0.4004
0.0618,0.9806,4.3997,0.391
0.0314,0.9909,4.1179,0.4261
0.0263,0.992,4.0632,0.4182
0.0171,0.9963,4.0226,0.4197
0.014,0.996,4.1187,0.4182
0.0105,0.9975,4.0773,0.4167
0.0099,0.9974,4.2484,0.4162
0.0108,0.998,4.182,0.4266
0.0068,0.9981,4.4351,0.4226
0.0058,0.9985,4.3507,0.4241
0.008,0.998,4.3046,0.4271
0.0062,0.9986,4.2042,0.4231
0.0089,0.9984,4.3953,0.4187
0.0099,0.9974,4.5367,0.4256
0.0095,0.9978,4.344,0.4197
0.0083,0.9969,4.198,0.4286
0.0099,0.9978,4.1055,0.433
0.0161,0.9958,4.5872,0.4073
0.0182,0.9941,4.8821,0.4058
0.0355,0.9883,4.784,0.4034
0.1112,0.9655,6.0693,0.3505
0.1903,0.9386,5.4098,0.3584
0.1839,0.9393,5.5919,0.3534
0.1552,0.9481,4.8942,0.3811
0.0941,0.9713,4.6133,0.4048
0.0684,0.9782,4.7243,0.4063
0.0524,0.9821,4.7828,0.4078
0.0325,0.9901,4.6139,0.4142
0.035,0.99,4.38,0.4167
0.0217,0.9937,4.6704,0.4207
0.014,0.9951,4.4165,0.4113
0.0131,0.9963,4.6095,0.4246
0.0131,0.9957,4.5578,0.4113
0.0113,0.9964,4.599,0.4212
0.0086,0.9979,4.7832,0.4241
0.0096,0.9975,5.2351,0.3979
0.0218,0.9942,4.9641,0.4108
0.0177,0.9946,4.7403,0.4256
0.0435,0.985,5.1133,0.3717
0.0519,0.9836,4.9313,0.3964
0.0651,0.9802,5.3489,0.3994
0.0462,0.9859,5.2136,0.4167
0.0391,0.9886,5.1452,0.4132
0.0448,0.9868,5.3737,0.3895
0.0351,0.9883,5.3993,0.391
0.0434,0.9879,5.2648,0.4039
0.0293,0.9905,4.6909,0.4157
0.0181,0.9942,5.0402,0.4009
0.0161,0.9952,4.9001,0.4226
0.016,0.9952,4.9697,0.4236
0.0111,0.9963,5.0066,0.4217
0.0196,0.9949,5.4557,0.394
0.0169,0.9939,5.3929,0.4118
0.017,0.9947,5.6025,0.4083
0.028,0.9907,5.2652,0.4083
0.0293,0.9907,5.1704,0.4024
0.0253,0.9926,5.1743,0.4123
0.032,0.989,5.428,0.402
